SCAN FILE,SITE,SLOPE, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,7.32,0.12,1.1,327
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,7.43,0.04,8,2800
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,7.45,0.1,1.6,324
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,7.53,0.13,3.3,1399
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,7.66,0.06,15.2,1552
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,7.77,0.15,1.6,549
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,7.86,0.05,18,1898
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,8.18,0.07,1.7,452
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,8.37,0.17,0.9,197
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,8.6,0.07,1.2,274
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,8.84,0.05,5.3,280
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,8.89,0.13,1.1,168
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,9.01,0.08,2.5,944
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,9.32,0.11,1.1,339
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,9.39,0.06,2.4,1066
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,9.54,0.16,1,197
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,9.61,0.08,2.8,880
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,9.81,0.09,1.1,318
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,9.9,0.13,0.8,150
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,9.96,0.15,0.8,184
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,10.09,0.1,2.9,622
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,10.3,0.1,0.9,196
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,10.39,0.05,4.9,1050
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,10.62,0.04,4.2,489
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,10.81,0.07,2.2,466
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,11.1,0.06,1.2,229
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,11.4,0.03,17.5,2837
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,11.45,0.17,0.9,231
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,11.48,0.07,1.4,198
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,11.49,0.04,5.1,385
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,11.65,0.16,0.7,185
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,11.75,0.07,3.5,1149
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,12.01,0.04,14.9,881
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,12.24,0.06,4,642
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,12.27,0.16,1,239
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,12.51,0.07,2.4,1113
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,12.83,0.06,2.2,339
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,13.01,0.06,1.5,317
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,13.53,0.06,2.4,668
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,13.76,0.05,3.5,612
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,13.88,0.06,2.2,402
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,14.15,0.07,1.8,377
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,14.19,0.14,0.9,206
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,14.21,0.04,16.7,2389
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,14.57,0.04,1.8,159
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,14.7,0.17,0.8,193
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,14.87,0.04,2.6,828
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,14.94,0.04,12.4,1806
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,15.01,0.09,1.1,214
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, DETECT,15.17,0.03,14,720
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, MARKER,0, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, MARKER,1.17, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, MARKER,3.51, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, MARKER,4.66, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, MARKER,7, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, MARKER,8.24, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, MARKER,10.61, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, MARKER,11.76, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0004,1,east, MARKER,14.31, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,0.09,0.03,24.2,905
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,0.14,0.12,1.7,438
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,0.55,0.09,1.3,212
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,0.79,0.11,2.2,345
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,1.1,0.12,2.6,1173
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,1.18,0.06,12.6,2879
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,1.4,0.04,43.9,5354
