date,elevation,siteID,aspect,transect,scan_file,position_m,depth_m,amplitude_dB,pixel_count,sample_no,sample_depth_cm,soil_depth_cm,dry_root_mass_g,rock_mass_g,dry_soil_mass_g,root_to_soil_ratio,root_to_soil_and_rock_ratio
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,9.31,0.13,1.2,317,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,9.39,0.11,2.1,883,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,9.68,0.08,2.1,933,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,9.8,0.17,1.1,236,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,9.84,0.11,1.7,620,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,10.01,0.09,2.7,691,6,4,7,5.54,26.51,44.85,0.123522854,0.077634529
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,10.3,0.15,0.9,158,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,10.43,0.05,4.8,1099,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,10.58,0.12,1.5,426,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,10.61,0.05,1.9,543,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,10.7,0.1,1.8,325,7,7,20,7.37,83.64,93.8,0.078571429,0.041535167
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,10.78,0.09,2.6,600,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,10.97,0.06,9.1,3832,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,11.16,0.06,1.5,79,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,11.29,0.07,3,506,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,11.46,0.08,1.5,592,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,11.58,0.08,1.9,354,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,11.7,0.1,1.7,657,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,11.93,0.07,3.2,1766,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,12.08,0.1,1.2,395,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,12.17,0.02,21,895,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,12.22,0.11,2.4,543,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,12.42,0.12,1.7,402,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,12.47,0.05,3,1069,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,12.62,0.11,1.5,728,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,12.84,0.1,2.1,1631,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,12.95,0.05,34.3,2159,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,13.24,0.1,2.1,822,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,13.45,0.07,1.6,134,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,13.61,0.07,2.4,733,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,13.72,0.03,23.3,400,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,13.79,0.11,1.7,918,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,13.98,0.11,1.6,230,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,14.01,0.15,1,328,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,14.08,0.07,1.3,197,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,14.1,0.12,0.9,132,NA,NA,NA,NA,NA,NA,NA,NA
