"","Group","elevation","SRL","RTD","RDMC","RD","BI"
"33","RP",2200,61.785914015748,0.286057163891729,0.000409677419354839,0.252332,0.286316
"34","RP",2200,50.7679563642298,0.313608979796008,0.000596108949416342,0.261556,0.346506
"35","RP",2200,81.6735547085202,0.245679750055925,0.00040059880239521,0.235171,0.360544
"36","RP",2200,68.8438966049383,0.195884746832024,0.000347639484978541,0.275913,0.393626
"37","RP",2200,63.1169150684932,0.257284431551636,0.00033953488372093,0.262245,0.317957
"38","RP",2200,65.85312125,0.149922164628686,0.000363636363636364,0.323119,0.588431
"39","RP",2200,54.5507602162162,0.213405868257636,0.0003714859437751,0.305654,0.296277
"40","RP",2200,20.0596486514523,0.370958188309782,0.000483450351053159,0.360265,0.411635
"41","RP",2800,60.1972763608087,0.234262357445617,0.000334895833333333,0.272041,0.476229
"42","RP",2800,134.124225096899,0.152079638211972,0.000326582278481013,0.235311,0.43492
"43","RP",2800,40.1584540709812,0.289327584271416,0.000246272493573265,0.29752,0.15076
"44","RP",2800,66.8974104075691,0.168856369604521,0.000392571428571429,0.297983,0.478693
"45","RP",2800,112.791289541284,0.191480898866851,0.000219758064516129,0.231434,0.382293
"46","RP",2600,62.9586736416185,0.235774979957082,0.000640740740740741,0.277841,0.325014
"47","RP",2600,58.0467928022362,0.161005382867875,0.00028562874251497,0.326452,0.400891
"48","RP",2600,99.4130509127789,0.179711399531504,0.000337671232876712,0.255907,0.248926
"49","RP",2600,47.9949903963415,0.323110283228574,0.000473646209386282,0.272705,0.311262
"50","RP",2600,96.7751592351505,0.145716473375365,0.000287822014051522,0.277355,0.350607
"51","RP",2400,64.1294549019608,0.242163869078112,0.000378602620087336,0.263661,0.438847
"52","RP",2400,23.4171306896552,1.11929396480554,0.000547169811320755,0.215222,0.16198
"53","RP",2400,32.4563747201493,0.327418341804468,0.000365870307167236,0.30989,0.22993
"54","RP",2400,73.9642034970238,0.18842071699242,0.0003584,0.272763,0.501972
"55","RP",2400,92.3830003490401,0.201636124072302,0.000333139534883721,0.239963,0.408044
"56","RP",2200,80.1552013043478,0.112219454413408,0.000161971830985915,0.34838,0.287486
"57","RP",2200,202.23100625,0.102404784351525,0.000340425531914894,0.230123,0.500665
"58","RP",2200,62.6166689473684,0.170262204915716,0.000305220883534137,0.309084,0.319404
"59","RP",2200,49.8113234193548,0.19687427164458,0.000288640595903166,0.326135,0.374316
"60","RP",2200,50.5247224770642,0.171421193352569,0.000302777777777778,0.354316,0.34228
"61","RP",2800,49.6402520414776,0.260670059229204,0.000311088709677419,0.277175,0.261114
"62","RP",2800,56.9038866293848,0.17231801572765,0.000230597889800703,0.313972,0.426159
"63","RP",2800,39.763150203252,0.269287251768701,0.000355051546391753,0.304636,0.42426
"64","RP",2800,133.999621109608,0.167308464805374,0.00022125748502994,0.224573,0.400906
"65","RP",2600,65.3989933518006,0.186784356563507,0.000342721518987342,0.300308,0.408036
"66","RP",2600,55.3242731547619,0.243402372242985,0.000473239436619718,0.285861,0.305558
"67","RP",2600,59.797470965251,0.21418023317893,0.000528571428571428,0.28904,0.37966
"68","RP",2600,72.2597874626866,0.17689671829657,0.00038379705400982,0.284323,0.474478
"69","RP",2600,87.7966537358491,0.158486872125699,0.000384057971014493,0.28242,0.328375
"70","RP",2400,103.35080117773,0.0726482887497241,0.000125876010781671,0.375633,0.447531
"71","RP",2400,114.018832327586,0.0996567940289085,0.000147301587301587,0.314897,0.283528
"72","RP",2400,90.6347548136646,0.198954512572566,0.000235036496350365,0.24752,0.476282
"73","RP",2400,46.7700550810015,0.287906371999795,1.7374616171955e-05,0.286003,0.267659
"74","RP",2400,84.6954973628692,0.202452831373321,0.000356390977443609,0.251685,0.404776
"75","RP",2200,56.2831998630137,0.18823502473376,0.000443768996960486,0.312116,0.451484
"76","RP",2200,48.3333810869565,0.221742516184914,0.000414414414414414,0.306359,0.502463
"77","RP",2200,41.3705694035088,0.313427563442385,0.000443234836702955,0.279577,0.427459
"78","RP",2200,44.3280158922559,0.262634587293224,0.000424285714285714,0.289672,0.423838
"79","RP",2200,24.1039803383459,0.331621534554964,0.000420886075949367,0.343326,0.583312
"80","RP",2800,60.134911342155,0.156256737617974,0.000260163934426229,0.339084,0.251482
"81","RP",2800,54.9665219737146,0.187117126895341,0.000355491803278689,0.310761,0.445908
"82","RP",2800,83.1761857802401,0.133408699188316,0.000384042553191489,0.306958,0.424068
"83","RP",2800,112.471068593615,0.130126518904318,0.000298711340206186,0.273399,0.342912
"84","RP",2800,11.3288451394422,1.52105358594519,0.0052565445026178,0.252849,0.390358
"85","RP",2600,92.267648020219,0.18124082630548,0.000401013513513513,0.255433,0.416356
"86","RP",2600,75.3352286588759,0.159511787765776,0.000373596673596674,0.293154,0.391498
"87","RP",2600,99.9875266666667,0.140119699588702,0.000345394736842105,0.278884,0.364807
"88","RP",2600,93.6256974358974,0.157848171385754,0.0004225,0.274748,0.412908
"89","RP",2600,150.775815716096,0.135052296305834,0.000330125523012552,0.237189,0.294211
"90","RP",2400,84.0870012745098,0.158863739253394,0.000430379746835443,0.272998,0.458209
"91","RP",2400,37.6461211929825,0.321932080464043,0.000494791666666667,0.292776,0.443651
"92","RP",2400,87.7262717692308,0.204534800856894,0.000414012738853503,0.246726,0.416505
"93","RP",2400,73.4549628254848,0.22709320297588,0.000413990825688073,0.252789,0.367308
"94","RP",2400,79.6818114526823,0.194833085297936,0.000435433070866142,0.260498,0.389584
