"","Group","elevation","AverageRD","MedianRD","MaxRD"
"59","RP",2200,0.326135,0.26774,1.250088
"60","RP",2200,0.354316,0.30527,1.281239
"61","RP",2800,0.277175,0.239473,1.561176
"62","RP",2800,0.313972,0.254,1.81787
"63","RP",2800,0.304636,0.254,1.232765
"64","RP",2800,0.224573,0.18932,0.72833
"65","RP",2600,0.300308,0.26774,0.863434
"66","RP",2600,0.285861,0.254,0.946602
"67","RP",2600,0.28904,0.254,1.322536
"68","RP",2600,0.284323,0.254,1.325243
"69","RP",2600,0.28242,0.254,1.212242
"70","RP",2400,0.375633,0.338667,1.554273
"71","RP",2400,0.314897,0.30527,0.863434
"72","RP",2400,0.24752,0.239473,0.900019
"73","RP",2400,0.286003,0.254,0.846667
"74","RP",2400,0.251685,0.239473,0.83387
"75","RP",2200,0.312116,0.254,1.129594
"76","RP",2200,0.306359,0.254,1.590742
"77","RP",2200,0.279577,0.239473,1.419272
"78","RP",2200,0.289672,0.254,1.289604
"79","RP",2200,0.343326,0.26774,1.354667
"80","RP",2800,0.339084,0.30527,1.250088
"81","RP",2800,0.310761,0.254,1.561176
"82","RP",2800,0.306958,0.254,1.439333
"83","RP",2800,0.273399,0.254,1.019522
"84","RP",2800,0.252849,0.239473,1.100667
"85","RP",2600,0.255433,0.239473,0.965349
"86","RP",2600,0.293154,0.254,1.295151
"87","RP",2600,0.278884,0.254,1.25866
"88","RP",2600,0.274748,0.254,1.100667
"89","RP",2600,0.237189,0.239473,0.780588
"90","RP",2400,0.272998,0.239473,1.317104
"91","RP",2400,0.292776,0.254,1.17927
"92","RP",2400,0.246726,0.239473,0.900019
"93","RP",2400,0.252789,0.239473,1.185333
"94","RP",2400,0.260498,0.239473,0.957894
"95","CUT",2200,0.243516,0.18932,1.070958
"96","CUT",2200,0.305641,0.239473,1.436841
"97","CUT",2200,0.275357,0.239473,1.289604
"98","CUT",2200,0.28224,0.239473,1.419272
"99","CUT",2200,0.174889,0.169333,0.682604
"100","CUT",2600,0.260533,0.18932,1.401483
"101","CUT",2600,0.333035,0.254,1.554273
"102","CUT",2600,0.22313,0.18932,1.047269
"103","CUT",2600,0.238948,0.169333,1.151591
"104","CUT",2600,0.26257,0.18932,1.203339
"105","CUT",2400,0.320884,0.254,1.441821
"106","CUT",2400,0.198436,0.169333,0.946602
"107","CUT",2400,0.351271,0.254,1.992817
"108","CUT",2400,0.225513,0.169333,1.188353
"109","CUT",2400,0.368141,0.254,1.786045
"110","CUT",2800,0.303984,0.254,1.761799
"111","CUT",2800,0.245487,0.18932,1.129594
"112","CUT",2800,0.362014,0.30527,2.274998
"113","CUT",2800,0.313153,0.254,1.902647
"114","CUT",2800,0.271142,0.239473,1.135923
"115","CUT",2600,0.218289,0.18932,1.033488
"116","CUT",2600,0.267726,0.239473,1.354667
"117","CUT",2600,0.253746,0.18932,1.176227
"118","CUT",2600,0.329358,0.30527,1.070958
"119","CUT",2600,0.225376,0.169333,1.809967
"120","CUT",2400,0.442273,0.30527,2.184991
"121","CUT",2400,0.438742,0.30527,3.405663
"122","CUT",2400,0.319293,0.254,1.47864
"123","CUT",2400,0.341226,0.26774,1.778
"124","CUT",2400,0.367154,0.26774,2.945135
"125","CUT",2200,0.316366,0.26774,1.232765
"126","CUT",2200,0.280218,0.254,1.292381
"127","CUT",2200,0.270851,0.254,1.06087
"128","CUT",2200,0.225206,0.18932,1.129594
"129","CUT",2200,0.219195,0.18932,1.016
"130","CUT",2200,0.271123,0.239473,1.070958
"131","CUT",2200,0.280213,0.254,1.084262
"132","CUT",2200,0.332226,0.26774,1.365209
