"","source","ID","Number.of.Root.Tips","Number.of.Branch.Points","Total.Root.Length.mm","Network.Area.mm2","Median.Diameter.mm","Maximum.Diameter.mm","Perimeter.mm","Volume.mm3","Surface.Area.mm2","Computation.Time.s","Root.Length.Diameter.Range.1.mm","Root.Length.Diameter.Range.2.mm","Root.Length.Diameter.Range.3.mm","Root.Length.Diameter.Range.4.mm","Root.Length.Diameter.Range.5.mm","Root.Length.Diameter.Range.6.mm","Root.Length.Diameter.Range.7.mm","Root.Length.Diameter.Range.8.mm","Root.Length.Diameter.Range.9.mm","Projected.Area.Diameter.Range.1.mm2","Projected.Area.Diameter.Range.2.mm2","Projected.Area.Diameter.Range.3.mm2","Projected.Area.Diameter.Range.4.mm2","Projected.Area.Diameter.Range.5.mm2","Projected.Area.Diameter.Range.6.mm2","Projected.Area.Diameter.Range.7.mm2","Projected.Area.Diameter.Range.8.mm2","Projected.Area.Diameter.Range.9.mm2","Surface.Area.Diameter.Range.1.mm2","Surface.Area.Diameter.Range.2.mm2","Surface.Area.Diameter.Range.3.mm2","Surface.Area.Diameter.Range.4.mm2","Surface.Area.Diameter.Range.5.mm2","Surface.Area.Diameter.Range.6.mm2","Surface.Area.Diameter.Range.7.mm2","Surface.Area.Diameter.Range.8.mm2","Surface.Area.Diameter.Range.9.mm2","Volume.Diameter.Range.1.mm3","Volume.Diameter.Range.2.mm3","Volume.Diameter.Range.3.mm3","Volume.Diameter.Range.4.mm3","Volume.Diameter.Range.5.mm3","Volume.Diameter.Range.6.mm3","Volume.Diameter.Range.7.mm3","Volume.Diameter.Range.8.mm3","Volume.Diameter.Range.9.mm3","RD","BI","SRL","RTD","RDMC"
"86","RawScanners","FCT4052",1670,2068,1370.643999,301.565705,0.254,1.514563,1965.250259,163.458994,1412.493409,1.229,600.041768,501.36658,203.993701,51.486322,10.625453,2.925771,0.204403,0,0,93.486535,175.924104,121.350824,42.513504,11.653613,3.908244,0.307948,0,0,293.965823,553.232861,381.662863,133.775397,36.610906,12.278111,0.967447,0,0,12.649484,50.839476,57.579939,27.837916,10.073313,4.11448,0.364387,0,0,0.318444,1.50878,76.2740121869783,0.109935828921105,373.596673596674
"87","RawScanners","FCP0847",1248,1599,922.221553,178.755915,0.254,1.325243,1329.250634,82.434882,838.902823,1.119,441.975531,370.106796,89.644303,17.220213,2.671771,0.602938,0,0,0,70.062834,125.598079,53.073822,14.237836,2.972966,0.772668,0,0,0,220.209599,394.965703,167.128818,44.831447,9.339847,2.427409,0,0,0,9.571347,35.040514,25.093303,9.343176,2.608539,0.778002,0,0,0,0.282473,1.733857,87.8306240952381,0.127373264148058,345.394736842105
"88","RawScanners","FEP9413",1183,1596,1035.434396,191.594599,0.239473,1.401483,1563.096775,81.013861,875.014847,1.107,557.329109,377.731869,82.11116,15.336487,2.065824,0.859947,0,0,0,86.272019,127.932702,47.864188,12.74794,2.286347,1.128939,0,0,0,271.13361,402.436162,150.506768,40.208871,7.18277,3.546666,0,0,0,11.548572,35.648181,22.215468,8.440884,1.994824,1.165932,0,0,0,0.265909,1.541382,102.113845759369,0.125163766728758,422.5
"89","RawScanners","FFO5284",1065,1279,952.570866,151.569589,0.18932,0.846667,1561.403191,48.556874,658.971814,1.898,636.62487,273.314907,38.735907,3.895183,0,0,0,0,0,95.135387,88.659902,22.834873,3.013428,0,0,0,0,0,298.924406,278.763755,71.816691,9.466962,0,0,0,0,0,12.45236,23.527825,10.744207,1.832481,0,0,0,0,0,0.218734,1.342682,120.731415209125,0.162489867037157,330.125523012552
"90","RawScanners","FEH0081",1778,3178,1269.025896,177.623301,0.169333,1.401483,1683.882809,95.006681,974.513859,0.912,818.215123,321.54758,84.032751,38.27097,6.194463,0.765009,0,0,0,112.374628,107.604687,49.195789,32.629664,6.601033,0.992706,0,0,0,354.206195,339.036146,154.805257,102.609826,20.737757,3.118677,0,0,0,13.663653,29.783158,22.960173,22.048665,5.537828,1.013205,0,0,0,0.239875,2.504283,124.414303529412,0.107360870758131,430.379746835443
"91","RawScanners","FED1194",990,1576,671.298539,116.075037,0.239473,1.27,844.402364,68.7163,631.288313,1.25,329.844058,240.133051,69.871112,28.10547,3.122911,0.221938,0,0,0,49.151491,82.244839,41.970375,23.775083,3.2647,0.281183,0,0,0,154.667249,258.800771,131.853822,74.691627,10.391481,0.883362,0,0,0,6.454662,23.258745,20.056817,15.90804,2.75824,0.279796,0,0,0,0.287744,2.347689,47.1086694035088,0.207374378422587,494.791666666667
"92","RawScanners","FDZ1151",1467,2231,974.519295,142.712976,0.18932,1.084262,1379.79729,53.601286,704.689383,1.646,587.775801,339.730281,44.335425,2.336113,0.341675,0,0,0,0,86.3658,109.999389,25.0223,1.969912,0.359022,0,0,0,0,271.884267,346.316469,79.172083,6.188662,1.127902,0,0,0,0,11.195498,29.434724,11.362265,1.31234,0.296458,0,0,0,0,0.225885,2.289334,74.9630226923077,0.242531494486905,414.012738853503
"93","RawScanners","FDV4335",1939,3072,1397.918324,198.772004,0.18932,1.25866,1931.141302,86.796253,1039.834186,2.165,839.984087,472.025753,72.164375,11.632943,1.906762,0.204403,0,0,0,117.398069,158.438554,42.852501,9.487317,2.077238,0.256912,0,0,0,369.245365,498.688502,134.762087,29.805285,6.525835,0.807112,0,0,0,14.564655,43.793216,20.290706,6.111476,1.782587,0.253614,0,0,0,0.234339,2.197553,77.4469985595568,0.207958285941215,413.990825688073
"94","RawScanners","FDR6843",1803,2998,1415.808216,222.884859,0.18932,1.151591,1997.583842,98.883783,1110.497036,2.309,855.388738,430.790542,103.37264,24.43721,1.819087,0,0,0,0,127.537828,142.336809,60.689459,20.526521,1.905378,0,0,0,0,401.300702,447.934502,190.661558,64.614352,5.985922,0,0,0,0,16.578001,38.716184,28.342651,13.677248,1.569698,0,0,0,0,0.245409,2.117518,85.3410618444846,0.167772707482277,435.433070866142
"95","RootPainter","FCI1638",347,680,1318.066891,283.757497,0.239473,1.06087,2406.027301,89.878793,1077.147908,3.909,820.852856,378.481872,107.248009,11.237417,0.246737,0,0,0,0,149.342806,120.888199,63.24968,9.055646,0.256498,0,0,0,0,469.174261,379.941852,198.776829,28.449152,0.805813,0,0,0,0,22.307787,31.929874,29.674338,5.757329,0.209465,0,0,0,0,0.2628,0.515907,93.4799213475177,0.156877941162383,792.134831460674
