id,date,elevation_m_asl,site_id,aspect,species,plant_id,fire,root_depth_cm,no_root_scan,total_root_wet_mass_g,total_root_dry_mass_g,total_root_length_mm,total_root_volume_mm3,RD,BI,SRL,RTD,RDMC,no_tuber_scan,total_tuber_wet_mass_g,total_tuber_dry_mass_g,reproductive_height_cm,vegetative_height_cm,no_leaf,total_leaf_wet_mass_g,total_leaf_dry_mass_g,leaf_thick_1_mm,leaf_thick_2_mm,leaf_thick_3_mm,total_leaf_area_cm2,SLA,LT,LDMC,belowground_biomass_g,aboveground_biomass_g,ABG_BGB
FDY4037,12/9/2023,2400,3,west,HPA,5,1,8,3,0.0172,0.00573,529.354592,28.417527,0.239963,0.408044,92.38300035,0.201636124,333.1395349,5,0.2983,0.06399,28.8,5.3,1,0.8981,0.17296,0.987,0.729,0.959,14.956,86.47086031,0.891666667,192.5843447,4.28,1.54,0.359813084
FDZ1151,12/9/2023,2400,3,west,TT,3,1,21.5,5,0.0314,0.013,1140.441533,63.558866,0.246726,0.416505,87.72627177,0.204534801,414.0127389,NA,NA,NA,37.6,19.5,5,0.2419,0.08581,0.237,0.371,0.222,12.063,140.5780212,0.276666667,354.7333609,23.82,3.18,0.133501259
FEC6189,12/9/2023,2400,3,west,EC,4,1,12.5,5,0.028,0.00904,949.475283,50.716781,0.237315,0.351773,105.0304517,0.178244751,322.8571429,NA,NA,NA,20.8,11.6,5,0.1414,0.04062,0.241,0.229,0.168,7.398,182.127031,0.212666667,287.2701556,7.95,0.93,0.116981132
FED1194,12/9/2023,2400,3,west,TT,2,0,16.5,4,0.0288,0.01425,536.457227,44.263995,0.292776,0.443651,37.64612119,0.32193208,494.7916667,NA,NA,NA,28.5,16,5,0.174,0.06445,0.126,0.103,0.161,17.111,265.4926299,0.13,370.4022989,2.23,2.61,1.170403587
FEG8108,12/9/2023,2400,3,west,SG,5,0,10,4,0.0266,0.00948,802.913315,46.825722,0.251685,0.404776,84.69549736,0.202452831,356.3909774,5,0.242,0.08927,42.2,21.3,1,1.018,0.16146,0.604,0.607,0.598,17.96,111.2349808,0.603,158.6051081,1.53,0.98,0.640522876
FEH0081,12/9/2023,2400,3,west,TT,1,0,19,5,0.0237,0.0102,857.687413,64.205967,0.272998,0.458209,84.08700127,0.158863739,430.3797468,NA,NA,NA,31,18.9,5,0.234,0.07888,0.142,0.137,0.147,14.873,188.5522312,0.142,337.0940171,4.93,5.26,1.06693712
FEK5954,12/9/2023,2400,3,west,HPA,2,1,10,1,0.0053,0.0029,67.909679,2.590919,0.215222,0.16198,23.41713069,1.119293965,547.1698113,5,0.5651,0.11125,32.4,9,1,0.9391,0.16845,0.992,0.969,0.922,17.014,101.0032651,0.961,179.3738686,0.86,0.75,0.872093023
FEL2208,12/8/2023,2600,4,west,EC,3,1,17.2,5,0.026,0.01002,961.957474,56.500935,0.256532,0.369039,96.00373992,0.177342198,385.3846154,NA,NA,NA,26.2,9.5,5,0.1797,0.05629,0.16,0.18,0.187,10.299,182.9632262,0.175666667,313.244296,12.7,1.23,0.096850394
FEO1874,12/9/2023,2400,3,west,HPA,1,1,9,3,0.0229,0.00867,556.002374,35.802203,0.263661,0.438847,64.1294549,0.242163869,378.6026201,5,0.7407,0.13608,13.5,4.2,1,0.8182,0.15648,0.954,0.893,0.922,14.659,93.67970348,0.923,191.2490834,1.17,0.91,0.777777778
FEP9413,12/8/2023,2600,4,west,TT,4,0,21.2,5,0.024,0.01014,949.364572,64.238945,0.274748,0.412908,93.62569744,0.157848171,422.5,NA,NA,NA,17.2,14.6,5,0.1739,0.05042,0.179,0.177,0.188,10.053,199.3851646,0.181333333,289.9367453,25.92,2.25,0.086805556
FES3675,12/9/2023,2400,3,west,HF,5,1,8,5,0.0656,0.01492,983.009831,85.287418,0.298348,0.42319,65.88537741,0.174937879,227.4390244,NA,NA,NA,41.2,14.4,5,0.9684,0.22844,0.379,0.454,0.385,30.487,133.457363,0.406,235.8942586,5.13,3.97,0.773879142
FET3274,12/8/2023,2800,5,northwest,TT,5,1,18,5,0.0191,0.1004,1137.416052,66.006879,0.252849,0.390358,11.32884514,1.521053586,5256.544503,NA,NA,NA,NA,12,5,0.1717,0.05594,0.136,0.121,0.177,12.585,224.9731856,0.144666667,325.8008154,19.21,3.32,0.172826653
FEU2975,12/9/2023,2400,3,west,HPA,3,1,8,3,0.0293,0.01072,347.932337,32.740988,0.30989,0.22993,32.45637472,0.327418342,365.8703072,5,0.5238,0.09544,33.5,6.9,1,0.4367,0.08267,0.762,0.755,0.864,9.015,109.0480223,0.793666667,189.3061598,1.45,0.8,0.551724138
FEV1588,12/8/2023,2600,4,west,HF,2,0,20,5,0.0223,0.00913,768.040441,62.105082,0.294943,0.386698,84.12272081,0.147008903,409.4170404,NA,NA,NA,17.7,7.5,5,0.5792,0.14626,0.353,0.339,0.334,18.153,124.1145905,0.342,252.5207182,7.28,1.33,0.182692308
FEY3832,12/8/2023,2600,4,west,EC,1,0,11,4,0.0298,0.01063,932.442329,60.220092,0.26147,0.33675,87.71799897,0.176519159,356.7114094,NA,NA,NA,19.4,7.5,4,0.1059,0.03243,0.17,0.164,0.166,6.192,190.9343201,0.166666667,306.2322946,3.49,0.5,0.143266476
FEZ5712,12/8/2023,2600,4,west,HF,4,1,19.6,5,0.0153,0.00378,277.937234,21.533563,0.29742,0.237464,73.52836878,0.175539923,247.0588235,NA,NA,NA,24,9.7,4,0.496,0.12884,0.379,0.329,0.309,13.364,103.7255511,0.339,259.7580645,6.15,1.03,0.167479675
FFC7215,12/8/2023,2800,5,northwest,TT,3,1,19.2,5,0.0282,0.01083,900.798092,81.179114,0.306958,0.424068,83.17618578,0.133408699,384.0425532,NA,NA,NA,NA,15.2,5,0.1293,0.0405,0.085,0.105,0.097,9.295,229.5061728,0.095666667,313.225058,24.87,11.39,0.457981504
FFD9944,12/8/2023,2600,4,west,HF,5,0,15,4,0.0428,0.01071,1548.360432,90.526024,0.24857,0.501821,144.5714689,0.118308521,250.2336449,NA,NA,NA,22,6.8,5,0.3042,0.06996,0.29,0.332,0.311,11.461,163.8221841,0.311,229.9802761,8.07,0.64,0.079306072
FFG0527,12/13/2023,2200,2,west,HF,5,0,12.5,5,0.0334,0.01338,1092.792162,54.461143,0.235171,0.360544,81.67355471,0.24567975,400.5988024,NA,NA,NA,37,20,5,0.4812,0.12929,0.305,0.35,0.342,14.509,112.2205894,0.332333333,268.6824605,15.63,3.56,0.227767115
FFH9263,12/8/2023,2800,5,northwest,TT,1,1,20.4,5,0.122,0.03174,1908.682086,203.127241,0.339084,0.251482,60.13491134,0.156256738,260.1639344,NA,NA,NA,NA,13.2,5,0.1446,0.04532,0.158,0.12,0.14,10.794,238.1729921,0.139333333,313.4163209,34.25,4.85,0.141605839
FFK2932,12/13/2023,2200,2,west,HF,1,1,13,5,0.0648,0.0358,1170.683785,95.515827,0.292101,0.280178,32.70066439,0.374806994,552.4691358,NA,NA,NA,45,13.5,5,0.411,0.10698,0.345,0.341,0.377,11.601,108.4408301,0.354333333,260.2919708,2.59,1.81,0.698841699
FFL3841,12/13/2023,2200,2,west,HF,2,0,14,5,0.043,0.01903,1195.081581,69.985116,0.255678,0.326338,62.79987288,0.27191496,442.5581395,NA,NA,NA,46.5,32.5,5,0.8081,0.19192,0.294,0.401,0.312,22.476,117.1112964,0.335666667,237.4953595,10.24,6.89,0.672851563
FFO5284,12/8/2023,2600,4,west,TT,5,1,12.8,4,0.0239,0.00789,1189.621186,58.421813,0.237189,0.294211,150.7758157,0.135052296,330.125523,NA,NA,NA,14,11.6,4,0.1521,0.04988,0.203,0.299,0.301,12.889,258.4001604,0.267666667,327.9421433,5.34,0.087,0.016292135
FFP1160,12/8/2023,2800,5,northwest,HF,4,1,17,5,0.0572,0.01827,1522.145274,127.253429,0.292568,0.406006,83.31391757,0.14357177,319.4055944,NA,NA,NA,21.6,7.1,5,0.4485,0.10985,0.345,0.336,0.301,13.789,125.5257169,0.327333333,244.9275362,6.84,11.11,1.624269006
FFS2715,12/13/2023,2200,2,west,HF,4,0,13,5,0.0514,0.03064,1555.530183,97.701284,0.261556,0.346506,50.76795636,0.31360898,596.1089494,NA,NA,NA,31,11,5,0.6533,0.15607,0.32,0.361,0.335,18.569,118.9786634,0.338666667,238.8948416,21.04,6.87,0.326520913
FFT9800,12/9/2023,2400,3,west,SG,2,1,8,4,0.0315,0.00464,529.047382,46.559796,0.314897,0.283528,114.0188323,0.099656794,147.3015873,5,0.2278,0.08481,38.9,21.5,1,0.6912,0.11621,0.521,0.592,0.533,12.847,110.5498666,0.548666667,168.1278935,1.19,0.68,0.571428571
FFU7165,12/9/2023,2400,3,west,SG,1,1,15,5,0.0742,0.00934,965.296483,128.564625,0.375633,0.447531,103.3508012,0.072648289,125.8760108,5,0.3228,0.06723,37,22.2,1,1.0568,0.1702,0.712,0.694,0.794,18.747,110.146886,0.733333333,161.0522332,1.79,0.89,0.497206704
FFW6775,12/13/2023,2200,2,west,HF,3,0,12,5,0.0465,0.01905,1177.021662,66.595081,0.252332,0.286316,61.78591402,0.286057164,409.6774194,NA,NA,NA,44.3,23,5,0.686,0.18022,0.362,0.368,0.332,17.963,99.67262235,0.354,262.7113703,6.89,5.41,0.785195936
FFX9242,12/8/2023,2800,5,northwest,HF,3,1,23,5,0.0747,0.02463,1685.012395,166.889415,0.319616,0.368543,68.41300832,0.147582757,329.7188755,NA,NA,NA,18.6,10.8,5,0.4311,0.10177,0.37,0.337,0.376,15.554,152.8348236,0.361,236.0705173,12.64,6.2,0.490506329
FFY6725,12/8/2023,2600,4,west,EC,4,0,16,5,0.0801,0.02,2294.106374,136.758801,0.252074,0.420207,114.7053187,0.146242873,249.6878901,NA,NA,NA,30.2,10,5,0.235,0.08155,0.17,0.182,0.186,13.813,169.380748,0.179333333,347.0212766,11.83,1.62,0.136939983
FGA6390,12/9/2023,2400,3,west,EC,3,1,13,5,0.1072,0.03386,1569.506216,216.528368,0.357461,0.523094,46.35281205,0.156376739,315.858209,NA,NA,NA,27.7,9.9,5,0.1708,0.05967,0.175,0.167,0.164,11.079,185.6711916,0.168666667,349.3559719,11.49,1.91,0.166231506
