barcode,date,elevation,siteID,aspect,project,sp,plantID,leafID,height,root_depth,grazing,fire,resprout,no_root_scan,root_wet_mass_g,no_tuber_scan,tuber_wet_mass_g,no_leaf,leaf_wet_mass_g,leaf_thick_1_mm,leaf_thick_2_mm,leaf_thick_3_mm,notes,drying_status,root_dry_mass,tuber_dry_mass,BGB,leaf_dry_mass,AGB
FEL2208,08/12/2023,2600,4,W,R,EC,3,26.2,9.5,17.2,,Y,,5,0.026,NA,NA,5,0.1797,0.16,0.18,0.187,,Djoe,,,,,
FFY6725,08/12/2023,2600,4,W,R,EC,4,30.2,10,16,,,,5,0.0801,NA,NA,5,0.235,0.17,0.182,0.186,,Djoe,,,,,
FGG8281,08/12/2023,2600,4,W,R,EC,5,13,17,17,,Y,,5,0.0752,NA,NA,5,0.1677,0.167,0.142,0.156,,Djoe,,,,,
FFU7165,09/12/2023,2400,3,W,R,SG,1,37,22.2,15,,Y,Y,5,0.0742,5,0.3228,1,1.0568,0.712,0.694,0.794,,TD,,,,,
FET9800,09/12/2023,2400,3,W,R,SG,2,38.9,21.5,8,,Y,Y,4,0.0315,5,0.2278,1,0.6912,0.521,0.592,0.533,,TD,,,,,
FBE2394,09/12/2023,2400,3,W,R,SG,3,36,18.4,18.5,,,,4,0.0274,5,0.5807,1,1.0045,0.513,0.535,0.557,,SfD14,,,,,
FCG9760,09/12/2023,2400,3,W,R,SG,4,35.6,20,10,,,,5,0.3908,5,0.0123,1,0.4215,0.439,0.479,0.453,,TD,,,,,
FEG8108,09/12/2023,2400,3,W,R,SG,5,42.2,21.3,10,,,,4,0.0266,5,0.242,1,1.018,0.604,0.607,0.598,,TD,,,,,
FEO1874,09/12/2023,2400,3,W,R,HPA,1,13.5,4.2,9,,Y,Y,3,0.0229,5,0.7407,1,0.8182,0.954,0.893,0.922,,TD,,,,,
FEK5954,09/12/2023,2400,3,W,R,HPA,2,32.4,9,10,,Y,Y,1,0.0053,5,0.5651,1,0.9391,0.992,0.969,0.922,,TD,,,,,
FEU2975,09/12/2023,2400,3,W,R,HPA,3,33.5,6.9,8,,Y,Y,3,0.0293,5,0.5238,1,0.4367,0.762,0.755,0.864,,TD,,,,,
FGC0245,09/12/2023,2400,3,W,R,HPA,4,30.4,4.7,9.5,,Y,Y,5,0.0375,5,0.789,1,0.6843,0.943,0.797,0.852,,TD,,,,,
FDY4037,09/12/2023,2400,3,W,R,HPA,5,28.8,5.3,8,,Y,Y,3,0.0172,5,0.2983,1,0.8981,0.987,0.729,0.959,,TD,,,,,
