File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Root.Length.Diameter.Range.4.mm,Root.Length.Diameter.Range.5.mm,Root.Length.Diameter.Range.6.mm,Root.Length.Diameter.Range.7.mm,Root.Length.Diameter.Range.8.mm,Root.Length.Diameter.Range.9.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Projected.Area.Diameter.Range.4.mm2,Projected.Area.Diameter.Range.5.mm2,Projected.Area.Diameter.Range.6.mm2,Projected.Area.Diameter.Range.7.mm2,Projected.Area.Diameter.Range.8.mm2,Projected.Area.Diameter.Range.9.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.4.mm2,Surface.Area.Diameter.Range.5.mm2,Surface.Area.Diameter.Range.6.mm2,Surface.Area.Diameter.Range.7.mm2,Surface.Area.Diameter.Range.8.mm2,Surface.Area.Diameter.Range.9.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3,Volume.Diameter.Range.4.mm3,Volume.Diameter.Range.5.mm3,Volume.Diameter.Range.6.mm3,Volume.Diameter.Range.7.mm3,Volume.Diameter.Range.8.mm3,Volume.Diameter.Range.9.mm3
FCR0255,Full,479,717,304.72526,2.352939,56.347558,0.332226,0.26774,1.365209,336.196211,38.702267,328.107199,0.374,118.850528,124.853352,44.087228,13.966048,2.270227,0.697877,0,0,0,18.893165,44.027473,26.415539,11.678057,2.477368,0.89883,0,0,0,59.427581,138.398421,82.986862,36.687698,7.78288,2.823757,0,0,0,2.59712,12.756102,12.590495,7.716166,2.132439,0.909946,0,0,0
FCV8597,Full,2125,3024,1298.681159,2.328516,235.84003,0.287812,0.254,1.212242,1644.720029,121.514375,1225.631535,1.829,566.467696,554.825727,157.391787,17.715449,2.280499,0,0,0,0,86.768403,194.169269,91.661503,14.399976,2.506866,0,0,0,0,273.074724,610.944603,288.393983,45.342674,7.875552,0,0,0,0,11.590005,55.914874,42.545975,9.290765,2.172755,0,0,0,0
FCQ4012,Full,1937,3283,1528.277981,2.148169,330.536973,0.372248,0.26774,3.035037,1753.998239,283.993224,1859.133309,1.949,581.913523,523.149001,255.307468,116.015868,35.88754,6.026892,2.118429,2.146236,5.713024,88.926634,180.718815,154.6446,98.112407,39.008981,8.030172,3.428512,4.017705,14.156538,279.870931,568.651547,486.383304,308.445631,122.687314,25.227528,10.770987,12.621991,44.474075,11.884671,51.521807,74.700307,65.751275,33.484807,8.42455,4.366481,5.914888,27.944439
FBR3362,Full,1678,2730,1558.578073,1.751597,289.019135,0.275439,0.18932,1.151591,2247.039288,140.176946,1371.521623,1.471,867.086623,469.082749,187.752567,26.128051,8.528084,0,0,0,0,128.233746,163.049146,114.248697,21.30244,9.327019,0,0,0,0,403.275893,512.945856,359.074589,66.92359,29.301695,0,0,0,0,16.466655,46.67945,55.283434,13.726242,8.021164,0,0,0,0
FBI0246,Full,2140,3405,1818.160603,1.872772,277.425968,0.227104,0.18932,0.965349,2706.64934,101.057407,1310.499785,1.72,1124.136202,604.827197,81.39532,7.801884,0,0,0,0,0,162.858668,200.19955,47.221418,6.202843,0,0,0,0,0,512.127747,629.802056,148.961899,19.608082,0,0,0,0,0,20.759108,54.407741,21.95692,3.933638,0,0,0,0,0
FBQ2034,Full,633,849,564.748746,1.503323,129.634149,0.327796,0.26774,1.100667,817.011222,67.237908,596.812856,1.124,224.986441,219.481772,98.391103,21.413492,0.475938,0,0,0,0,34.851802,78.078092,58.808554,17.606225,0.49542,0,0,0,0,109.57904,245.613298,184.752521,55.311586,1.556409,0,0,0,0,4.619461,22.834569,27.942442,11.435991,0.405446,0,0,0,0
FBJ6221,Full,1752,2720,1371.864152,1.982704,255.655403,0.30963,0.254,1.669888,1755.392783,161.544886,1372.17956,1.87,646.975263,488.515512,152.664464,62.445457,17.030853,3.474858,0.757745,0,0,99.577588,168.699732,91.110132,52.437959,18.484001,4.574641,1.194205,0,0,313.289285,531.087122,286.612334,164.851869,58.215584,14.371659,3.751707,0,0,13.248985,47.951833,43.374636,34.853815,15.892116,4.743349,1.480152,0,0
FBN8285,Full,1021,1582,871.727642,1.814787,167.729055,0.270632,0.254,0.863434,1270.70415,65.396899,760.115964,1.266,414.473819,384.935674,67.86537,4.452779,0,0,0,0,0,71.153538,128.18162,38.964399,3.469195,0,0,0,0,0,223.722438,402.892477,122.496025,11.005024,0,0,0,0,0,10.304719,35.141728,17.782818,2.167633,0,0,0,0,0
FCK8784,Full,225,279,147.767292,1.888104,23.197086,0.226838,0.18932,0.682604,221.800136,7.67729,107.099348,1.441,90.587243,53.284866,3.895183,0,0,0,0,0,0,14.379637,17.438043,2.20793,0,0,0,0,0,0,45.174962,54.98797,6.936416,0,0,0,0,0,0,1.978245,4.707845,0.9912,0,0,0,0,0,0
FCW1015,Full,1066,1464,945.85676,1.547803,225.080195,0.349137,0.30527,1.25866,1302.645538,133.258139,1068.862856,1.749,357.477114,364.26622,148.012266,67.360165,8.681128,0.059868,0,0,0,57.37917,126.52923,89.980961,56.619049,9.351261,0.075354,0,0,0,180.341601,397.834471,283.055778,178.016419,29.377854,0.236731,0,0,0,7.906099,36.04677,43.620785,37.671905,7.938088,0.074491,0,0,0
FCO4501,Full,437,511,394.771836,1.294419,89.309857,0.297589,0.26774,0.871697,616.626768,34.691374,378.641552,0.924,158.008006,205.216081,28.383752,3.163998,0,0,0,0,0,28.301385,73.610707,15.918016,2.561038,0,0,0,0,0,88.96845,231.320513,50.306851,8.045739,0,0,0,0,0,4.239901,21.65099,7.169805,1.630677,0,0,0,0,0
FCS7407,Full,851,1060,793.940839,1.335112,190.107147,0.321761,0.30527,1.203339,1204.191418,85.650832,824.229841,1.683,264.841279,416.384658,96.361381,14.566494,1.787026,0,0,0,0,42.149428,149.207193,57.021476,11.968312,1.916697,0,0,0,0,132.555565,468.914983,179.13825,37.599562,6.021481,0,0,0,0,5.821249,43.606345,26.830142,7.773455,1.61964,0,0,0,0
FCC1836,Full,1733,2247,1520.106423,1.478186,319.800436,0.293904,0.254,1.103918,2275.713842,145.687934,1435.75838,2.097,680.774495,620.698886,185.35792,31.381639,1.893482,0,0,0,0,101.275957,218.460094,109.302461,25.590481,1.983014,0,0,0,0,318.382571,686.935302,343.815818,80.394867,6.229821,0,0,0,0,13.193007,63.022873,51.368019,16.471014,1.633019,0,0,0,0
FEO1874,Full,821,1241,493.071098,2.516878,70.756131,0.239543,0.18932,1.019522,645.50611,32.584404,380.875983,0.838,289.048558,163.020144,36.451669,4.423726,0.127,0,0,0,0,42.084821,53.535816,21.619472,3.678287,0.129479,0,0,0,0,132.493004,168.500955,67.919575,11.555678,0.406771,0,0,0,0,5.396749,14.476356,10.186638,2.420984,0.103678,0,0,0,0
FEK5954,Full,105,107,81.048874,1.320191,15.869144,0.238245,0.254,0.493687,135.913567,4.098525,62.766359,0.282,35.698179,45.350695,0,0,0,0,0,0,0,7.077384,12.901769,0,0,0,0,0,0,0,22.234257,40.532102,0,0,0,0,0,0,0,1.142109,2.956416,0,0,0,0,0,0,0
FEU2975,Full,699,924,565.785201,1.633129,130.440599,0.357276,0.26774,1.197367,755.181165,84.361071,653.553293,0.835,218.408699,207.47552,79.943223,54.722437,5.235323,0,0,0,0,36.504606,71.425084,47.532531,46.816479,5.571112,0,0,0,0,114.809848,224.438875,149.599726,147.202678,17.502165,0,0,0,0,5.202357,20.222951,22.58048,31.689116,4.666167,0,0,0,0
FGC0245,Full,1182,1713,738.604373,2.319239,113.510526,0.262754,0.18932,1.439333,951.96944,62.550818,624.79288,1.465,421.721542,231.975607,62.848461,16.309424,4.55799,1.19135,0,0,0,62.43491,79.113373,36.773385,13.56251,5.023285,1.571888,0,0,0,196.475051,249.062973,115.752461,42.783049,15.781114,4.938233,0,0,0,8.103915,22.266796,17.197278,8.986802,4.364647,1.631378,0,0,0
FDY4037,Full,650,1023,544.529008,1.878688,96.6378,0.267274,0.239473,0.957894,780.301814,43.493175,464.218497,0.649,299.944602,172.540587,63.914787,8.129032,0,0,0,0,0,46.974343,56.11715,37.943242,6.599068,0,0,0,0,0,147.742749,176.473461,119.270704,20.731583,0,0,0,0,0,6.375762,15.026298,17.868245,4.22287,0,0,0,0,0
FCF2601,Full,992,1426,620.26026,2.299035,130.523036,0.336295,0.26774,1.22108,731.894787,81.023033,687.315761,0.734,222.165364,249.094953,120.51949,24.920928,3.559525,0,0,0,0,35.062717,86.878892,71.909464,20.851632,3.794934,0,0,0,0,110.390135,273.28697,226.073126,65.507335,12.058194,0,0,0,0,4.833305,24.999513,34.126595,13.804379,3.259242,0,0,0,0
FCB1397,Full,526,720,399.09491,1.804082,55.587702,0.201425,0.169333,1.212242,631.165846,18.126851,255.088372,0.966,296.402826,87.916932,11.088627,2.879183,0.807342,0,0,0,0,43.597438,27.678408,6.480429,2.417648,0.886951,0,0,0,0,137.343162,87.004642,20.358867,7.595265,2.786437,0,0,0,0,5.612228,7.129794,3.010184,1.606646,0.767999,0,0,0,0
FCJ1591,Full,1038,1497,751.616531,1.991707,150.938766,0.324995,0.254,1.325243,967.568827,100.974281,798.817608,1.125,329.78896,274.555942,86.233657,42.561252,17.362772,1.113947,0,0,0,49.80957,96.042242,51.407132,36.646693,18.632761,1.423972,0,0,0,156.586179,301.933751,161.863581,115.128983,58.831574,4.47354,0,0,0,6.61103,27.575581,24.477572,24.971518,15.90861,1.429969,0,0,0
