SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 16.07, 0.08, 5.8, 2623
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 16.36, 0.05, 12.7, 8291
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 16.63, 0.02, 18.8, 4531
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 16.69, 0.08, 3.4, 1472
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 16.80, 0.12, 1.6, 814
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 16.96, 0.11, 1.7, 605
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 17.16, 0.11, 1.2, 181
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 17.41, 0.11, 1.4, 562
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 17.53, 0.10, 1.5, 192
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 17.75, 0.12, 3.4, 1568
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 17.98, 0.01, 14.8, 1628
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 18.13, 0.03, 12.3, 977
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 18.15, 0.09, 1.8, 626
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 18.30, 0.09, 1.1, 449
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 18.32, 0.02, 11.7, 2229
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 18.43, 0.05, 3.9, 1518
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 18.57, 0.10, 1.9, 836
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 18.71, 0.06, 3.0, 617
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 18.96, 0.09, 1.9, 907
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 19.08, 0.08, 5.4, 1613
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 19.30, 0.06, 3.0, 859
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 19.40, 0.08, 2.1, 271
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 19.48, 0.13, 1.1, 226
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 19.59, 0.08, 3.7, 1362

TBA Density Info
# Total Detections = 140, 6.97, #/m
Zone 1: 0-20 cm
# Detections = 140, 6.97, #/m
Zone 2: 20-41 cm
# Detections = 0, 0.00, #/m
Zone 3: 41 cm -
# Detections = 0, 0.00, #/m
