SCAN FILE,SITE,TRANSECT,SLOPE, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,11.7,0.1,1.7,657
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,11.93,0.07,3.2,1766
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,12.08,0.1,1.2,395
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,12.17,0.02,21,895
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,12.22,0.11,2.4,543
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,12.42,0.12,1.7,402
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,12.47,0.05,3,1069
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,12.62,0.11,1.5,728
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,12.84,0.1,2.1,1631
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,12.95,0.05,34.3,2159
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,13.24,0.1,2.1,822
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,13.45,0.07,1.6,134
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,13.61,0.07,2.4,733
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,13.72,0.03,23.3,400
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,13.79,0.11,1.7,918
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,13.98,0.11,1.6,230
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,14.01,0.15,1,328
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,14.08,0.07,1.3,197
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,14.1,0.12,0.9,132
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,14.14,0.04,3.7,325
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,14.18,0.09,1.5,261
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,14.29,0.1,1.3,521
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,14.37,0.09,1.1,169
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,14.48,0.05,5.3,757
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,14.55,0.12,1.2,267
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,14.6,0.03,6,1084
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,14.63,0.09,2,790
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,14.8,0.04,3.8,679
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,15,0.11,1.1,346
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,15.1,0.13,0.9,138
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,15.19,0.07,1.1,207
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,15.4,0.11,1.5,263
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,15.51,0.09,1.7,520
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,15.77,0.11,1.6,800
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,15.96,0.1,1.4,684
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,16.01,0.02,15.3,2820
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,16.09,0.15,1.2,212
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,16.1,0.08,3.6,1271
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,16.2,0.05,2.6,402
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,16.36,0.08,2.9,877
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,16.42,0.12,1.2,308
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,16.6,0.09,1.2,261
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,16.81,0.05,28.3,4563
