File.Name,date,elevation,siteID,aspect,project,sp,plantID,leafID,height,root_depth,grazing,fire,resprout,no_root_scan,root_wet_mass_g,no_tuber_scan,tuber_wet_mass_g,no_leaf,leaf_wet_mass_g,leaf_thick_1_mm,leaf_thick_2_mm,leaf_thick_3_mm,root_dry_mass,tuber_dry_mass,BGB,leaf_dry_mass,AGB,leaf_area_nr,leaf_area
FCX5914,12/08/2023,2600,4,W,R,TT,1,17.5,9.2,17,,,,4,0.0296,NA,NA,5,0.1726,0.144,0.135,0.12,0.01187,NA,6.23,0.05718,2.96,7,13.664
FDB8375,12/08/2023,2600,4,W,R,HF,1,23.5,10,15.5,,,,5,0.0229,NA,NA,5,0.459,0.36,0.366,0.32,0.01028,NA,18.99,0.10583,2.69,4,11.294
FDF3034,12/09/2023,2400,3,W,R,HF,3,22,15,12,,Y,,4,0.0372,NA,NA,5,0.852,0.414,0.387,0.385,0.0131,NA,9.4,0.17765,8.92,5,26.82
FDJ1565,12/09/2023,2400,3,W,R,HF,2,35.3,13.3,10,,Y,,5,0.2574,NA,NA,5,0.8073,0.397,0.326,0.287,0.10309,NA,26.24,0.12571,18.27,9,26.855
FDN1018,12/09/2023,2400,3,W,R,HF,1,28.6,13.5,13,,Y,,4,0.1848,NA,NA,5,0.6985,0.372,0.333,0.33,0.06653,NA,15.24,0.15285,62.17,5,21.979
FDR6843,12/09/2023,2400,3,W,R,TT,5,23.9,20.1,19.6,,Y,,5,0.0381,NA,NA,5,0.2408,0.2,0.145,0.21,0.01659,NA,10.9,0.0898,2.35,5,19.969
FDV4335,12/09/2023,2400,3,W,R,TT,4,24.6,13.2,21.6,,Y,,4,0.0436,NA,NA,5,0.1258,0.128,0.128,0.125,0.01805,NA,22.5,0.04521,3.47,5,11.387
FDY4037,12/09/2023,2400,3,W,R,HPA,5,28.8,5.3,8,,Y,Y,3,0.0172,5,0.2983,1,0.8981,0.987,0.729,0.959,0.00573,0.06399,4.28,0.17296,1.54,1,14.956
FDZ1151,12/09/2023,2400,3,W,R,TT,3,37.6,19.5,21.5,,Y,,5,0.0314,NA,NA,5,0.2419,0.237,0.371,0.222,0.013,NA,23.82,0.08581,3.18,5,12.063
FEC6189,12/09/2023,2400,3,W,R,EC,4,20.8,11.6,12.5,,Y,,5,0.028,NA,NA,5,0.1414,0.241,0.229,0.168,0.00904,NA,7.95,0.04062,0.93,5,7.398
FED1194,12/09/2023,2400,3,W,R,TT,2,28.5,16,16.5,,,,4,0.0288,NA,NA,5,0.174,0.126,0.103,0.161,0.01425,NA,2.23,0.06445,2.61,4,17.111
FEG8108,12/09/2023,2400,3,W,R,SG,5,42.2,21.3,10,,,,4,0.0266,5,0.242,1,1.018,0.604,0.607,0.598,0.00948,0.08927,1.53,0.16146,0.98,1,17.96
FEH0081,12/09/2023,2400,3,W,R,TT,1,31,18.9,19,,,,5,0.0237,NA,NA,5,0.234,0.142,0.137,0.147,0.0102,NA,4.93,0.07888,5.26,6,14.873
FEK5954,12/09/2023,2400,3,W,R,HPA,2,32.4,9,10,,Y,Y,1,0.0053,5,0.5651,1,0.9391,0.992,0.969,0.922,0.0029,0.11125,0.86,0.16845,0.75,1,17.014
