File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Root.Length.Diameter.Range.4.mm,Root.Length.Diameter.Range.5.mm,Root.Length.Diameter.Range.6.mm,Root.Length.Diameter.Range.7.mm,Root.Length.Diameter.Range.8.mm,Root.Length.Diameter.Range.9.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Projected.Area.Diameter.Range.4.mm2,Projected.Area.Diameter.Range.5.mm2,Projected.Area.Diameter.Range.6.mm2,Projected.Area.Diameter.Range.7.mm2,Projected.Area.Diameter.Range.8.mm2,Projected.Area.Diameter.Range.9.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.4.mm2,Surface.Area.Diameter.Range.5.mm2,Surface.Area.Diameter.Range.6.mm2,Surface.Area.Diameter.Range.7.mm2,Surface.Area.Diameter.Range.8.mm2,Surface.Area.Diameter.Range.9.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3,Volume.Diameter.Range.4.mm3,Volume.Diameter.Range.5.mm3,Volume.Diameter.Range.6.mm3,Volume.Diameter.Range.7.mm3,Volume.Diameter.Range.8.mm3,Volume.Diameter.Range.9.mm3
FBE2394,Full,192,278,583.687821,0.476282,127.266771,0.24752,0.239473,0.900019,1133.347724,32.369208,451.685528,1.942,337.53304,232.753593,11.574837,1.82635,0,0,0,0,0,61.845079,73.911057,6.548889,1.447723,0,0,0,0,0,194.317223,232.246208,20.573942,4.548155,0,0,0,0,0,9.325846,19.196255,2.943383,0.903724,0,0,0,0,0
FCG9760,Full,49,85,317.568674,0.267659,81.415608,0.286003,0.254,0.846667,617.697047,23.584056,285.052264,2.003,130.702615,173.561572,12.35261,0.951877,0,0,0,0,0,24.152817,58.855265,6.986506,0.740366,0,0,0,0,0,75.878312,184.899269,21.948755,2.325928,0,0,0,0,0,3.685367,16.303821,3.141895,0.452973,0,0,0,0,0
FEG8108,Full,170,325,802.913315,0.404776,177.492477,0.251685,0.239473,0.83387,1524.049455,46.825722,634.510234,3.079,470.320777,304.840778,26.183665,1.568096,0,0,0,0,0,88.178401,97.252277,15.233216,1.220816,0,0,0,0,0,277.020618,305.797751,47.856559,3.835306,0,0,0,0,0,13.549052,25.491313,7.038295,0.747063,0,0,0,0,0
FBS3237,Full,153,371,821.734718,0.451484,217.659063,0.312116,0.254,1.129594,1515.437951,77.562611,802.091146,4.35,334.40162,394.409529,74.095419,17.330195,1.497956,0,0,0,0,63.137426,132.411974,43.842341,14.332853,1.543328,0,0,0,0,198.352073,416.127802,137.734776,45.027987,4.848508,0,0,0,0,9.803012,36.489198,20.650759,9.369882,1.249762,0,0,0,0
FCM1008,Full,331,782,1556.334871,0.502463,394.794909,0.306359,0.254,1.590742,2846.494052,145.213469,1485.250479,4.055,671.194664,728.858931,116.656369,32.145401,4.451533,2.534499,0.493473,0,0,121.031917,247.618482,68.13345,26.831203,4.824318,3.469416,0.759748,0,0,380.232981,778.23489,214.047544,84.29271,15.156043,10.899493,2.386818,0,0,18.125051,68.965878,31.635753,17.706841,4.119856,3.741118,0.918973,0,0
FBK1070,Full,250,504,1179.061228,0.427459,281.307681,0.279577,0.239473,1.419272,2205.193683,90.930101,1030.607053,3.85,604.082393,483.677728,72.108245,14.480065,3.990121,0.722675,0,0,0,111.425876,157.217393,42.049233,12.039837,4.297404,0.969306,0,0,0,350.102487,493.960781,132.173662,37.824264,13.500694,3.045165,0,0,0,16.900115,41.906147,19.536412,7.918183,3.64674,1.022503,0,0,0
FBO8536,Full,250,558,1316.542072,0.423838,325.053113,0.289672,0.254,1.289604,2455.750828,113.084877,1191.854908,4.331,667.159842,518.312714,91.961635,33.792147,4.949261,0.366473,0,0,0,121.680716,168.495799,55.485154,27.849926,5.371741,0.465451,0,0,0,382.271245,529.44071,174.311752,87.493122,16.875823,1.462257,0,0,0,18.271813,44.950749,26.649794,18.153142,4.595026,0.464353,0,0,0
FBG3400,Full,155,374,641.165877,0.583312,173.460227,0.343326,0.26774,1.354667,1109.091616,80.21192,685.087677,1.476,266.75883,252.919907,88.333732,23.64014,7.634313,1.878956,0,0,0,46.535705,87.275622,53.541407,19.994856,8.256524,2.431782,0,0,0,146.196228,274.220059,168.277391,62.815694,25.938635,7.63967,0,0,0,6.752563,24.743015,25.823119,13.382075,7.03813,2.473017,0,0,0
FFH9263,Full,248,480,1908.682086,0.251482,565.007831,0.339084,0.30527,1.250088,3598.216169,203.127241,2026.955016,5.189,551.955961,1108.203597,213.798015,31.287733,3.394446,0.042333,0,0,0,109.423339,381.666243,124.501377,25.839718,3.64019,0.05292,0,0,0,343.763559,1199.278728,391.132613,81.177869,11.435993,0.166254,0,0,0,17.673361,107.837535,57.631535,16.858826,3.074024,0.051958,0,0,0
FBF4179,Full,393,1063,2383.898058,0.445908,615.237121,0.310761,0.254,1.561176,4326.428524,231.779959,2308.938534,4.643,1106.340606,971.110927,237.475202,57.041531,8.88854,2.734648,0.306605,0,0,205.513604,328.465776,139.501245,47.499532,9.795306,3.600964,0.472375,0,0,645.640029,1032.248607,438.256085,149.224182,30.772861,11.312761,1.484009,0,0,31.343823,91.216513,65.126054,31.281135,8.508244,3.732517,0.571672,0,0
