SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 10.78, 0.09, 2.6, 600
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 10.97, 0.06, 9.1, 3832
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 11.16, 0.06, 1.5, 79
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 11.29, 0.07, 3.0, 506
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 11.46, 0.08, 1.5, 592
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 11.58, 0.08, 1.9, 354
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 11.70, 0.10, 1.7, 657
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 11.93, 0.07, 3.2, 1766
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 12.08, 0.10, 1.2, 395
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 12.17, 0.02, 21.0, 895
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 12.22, 0.11, 2.4, 543
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 12.42, 0.12, 1.7, 402
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 12.47, 0.05, 3.0, 1069
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 12.62, 0.11, 1.5, 728
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 12.84, 0.10, 2.1, 1631
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 12.95, 0.05, 34.3, 2159
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 13.24, 0.10, 2.1, 822
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 13.45, 0.07, 1.6, 134
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 13.61, 0.07, 2.4, 733
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 13.72, 0.03, 23.3, 400
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 13.79, 0.11, 1.7, 918
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 13.98, 0.11, 1.6, 230
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 14.01, 0.15, 1.0, 328
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 14.08, 0.07, 1.3, 197
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 14.10, 0.12, 0.9, 132
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 14.14, 0.04, 3.7, 325
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 14.18, 0.09, 1.5, 261
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 14.29, 0.10, 1.3, 521
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 14.37, 0.09, 1.1, 169
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 14.48, 0.05, 5.3, 757
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 14.55, 0.12, 1.2, 267
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 14.60, 0.03, 6.0, 1084
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 14.63, 0.09, 2.0, 790
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 14.80, 0.04, 3.8, 679
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 15.00, 0.11, 1.1, 346
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 15.10, 0.13, 0.9, 138
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 15.19, 0.07, 1.1, 207
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 15.40, 0.11, 1.5, 263
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 15.51, 0.09, 1.7, 520
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 15.77, 0.11, 1.6, 800
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 15.96, 0.10, 1.4, 684
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 16.01, 0.02, 15.3, 2820
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 16.09, 0.15, 1.2, 212
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 16.10, 0.08, 3.6, 1271
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 16.20, 0.05, 2.6, 402
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 16.36, 0.08, 2.9, 877
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 16.42, 0.12, 1.2, 308
