date,elevation_m_asl,site_id,aspect,scan_file,type,position_m,depth_m,amplitude_dB,pixel_count
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,3.73,0.10,1.1,230
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,3.81,0.02,46.8,3050
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,3.89,0.10,1.3,432
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,4.17,0.07,2.1,871
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,4.84,0.07,1.4,239
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,4.93,0.07,3.0,457
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,5.18,0.06,8.1,1796
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,5.38,0.06,2.5,378
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,5.53,0.05,5.0,1303
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,5.7,0.14,1.3,345
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,5.79,0.06,2.0,517
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,5.89,0.13,1.3,626
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,6.06,0.11,1.1,280
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,6.1,0.06,2.4,765
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,6.3,0.06,3.7,1718
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,6.54,0.12,1.0,159
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,7.02,0.12,0.9,100
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,7.1,0.02,18.3,1397
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,7.19,0.06,2.1,610
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,7.59,0.06,2.7,484
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,7.76,0.05,12.6,1167
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,7.76,0.15,1.2,248
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,7.97,0.03,3.0,154
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,8.1,0.14,0.8,116
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,8.44,0.14,1.0,174
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,8.6,0.05,3.9,1022
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,8.96,0.07,1.4,317
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,9.08,0.03,9.5,2195
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,9.15,0.01,17.3,1415
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,9.46,0.04,3.4,829
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,9.64,0.08,1.5,308
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,9.73,0.09,2.3,722
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,9.83,0.05,3.4,832
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,9.92,0.03,3.0,189
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,10.09,0.04,14.0,1467
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,10.09,0.12,1.0,204
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,10.2,0.08,2.3,362
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,10.78,0.07,2.4,499
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,10.92,0.05,2.2,385
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,10.95,0.05,4.9,1480
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,11.16,0.02,17.1,2322
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,11.53,0.11,0.9,132
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,11.73,0.07,2.1,266
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,11.86,0.08,2.2,396
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,12.04,0.08,1.8,439
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,12.17,0.07,3.6,1368
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,12.44,0.16,1.1,216
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,12.57,0.08,2.3,367
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,12.74,0.09,2.4,1036
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,13.07,0.09,2.2,513
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,13.18,0.04,2.8,422
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,13.28,0.07,2.3,1079
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,13.53,0.12,1.3,123
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,14.05,0.06,2.9,772
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,14.06,0.12,0.9,156
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,14.55,0.06,2.7,425
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,14.68,0.06,1.7,144
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,DETECT,14.83,0.01,23.7,2667
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,MARKER,0,NA,NA,NA
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,MARKER,1.23,NA,NA,NA
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,MARKER,3.52,NA,NA,NA
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,MARKER,4.66,NA,NA,NA
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,MARKER,6.95,NA,NA,NA
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,MARKER,8.18,NA,NA,NA
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,MARKER,10.44,NA,NA,NA
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,MARKER,11.62,NA,NA,NA
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,MARKER,13.88,NA,NA,NA
14/12/2023,2000,1,west,ROOT_PFTC7_SITE1_(nogp)_plot_w,MARKER,15.08,NA,NA,NA
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,0,0.02,15.8,179
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,0.01,0.12,3.3,543
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,0.18,0.10,1.7,173
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,0.29,0.08,2.5,221
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,0.4,0.04,12.2,851
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,0.48,0.08,2.9,1094
